Transcript ID	WT_a_transcript_counts.txt	WT_b_transcript_counts.txt	WT_c_transcript_counts.txt	WT_d_transcript_counts.txt	AFF1_a_transcript_counts.txt	AFF1_b_transcript_counts.txt	AFF1_c_transcript_counts.txt	AFF1_d_transcript_counts.txt
ENSG00000000003	138	148	176	164	122	117	106	109
ENSG00000000005	0	0	0	0	0	0	0	1
ENSG00000000419	203	223	194	225	200	180	209	181
ENSG00000000457	109	123	146	133	95	111	110	108
ENSG00000000460	53	52	53	69	43	48	46	33
ENSG00000000938	0	0	2	2	0	0	0	0
ENSG00000000971	151	146	197	184	26	16	18	18
ENSG00000001036	319	311	362	333	501	439	499	458
ENSG00000001084	52	96	63	70	131	147	164	134
ENSG00000001167	147	140	176	161	116	114	135	103
ENSG00000001460	79	59	94	77	79	74	90	71
ENSG00000001461	273	289	345	298	547	497	544	454
ENSG00000001497	159	163	167	185	169	130	133	129
ENSG00000001561	88	83	106	115	1	3	3	2
ENSG00000001617	66	57	67	54	72	57	73	51
ENSG00000001626	0	1	0	0	0	1	0	1
ENSG00000001629	599	686	719	701	771	877	931	776
ENSG00000001630	42	24	27	19	38	35	47	29
ENSG00000001631	276	295	344	296	225	219	259	204
ENSG00000002016	74	89	81	70	42	40	42	35
ENSG00000002079	1	0	0	0	1	2	0	1
ENSG00000002330	266	241	262	230	282	213	282	195
ENSG00000002549	215	259	283	262	250	249	276	216
ENSG00000002586	3885	4158	4289	3999	4710	3728	4609	3731
ENSG00000002587	0	0	0	0	0	0	0	0
ENSG00000002726	0	0	0	0	0	0	0	0
ENSG00000002745	5	0	1	3	1	7	4	9
ENSG00000002746	26	31	40	26	0	2	0	1
ENSG00000002822	117	80	88	109	145	90	112	93
ENSG00000002834	3250	3168	3503	3071	6829	5791	6651	5412
ENSG00000002919	101	97	107	101	102	104	93	93
ENSG00000002933	3	4	2	2	0	0	0	0
ENSG00000003056	436	425	509	398	460	457	559	486
ENSG00000003096	0	3	3	1	3	3	4	2
ENSG00000003137	36	49	54	53	59	48	76	50
ENSG00000003147	1	1	0	1	0	0	0	0
ENSG00000003249	14	7	7	6	23	13	8	10
ENSG00000003393	264	279	321	330	266	286	300	246
ENSG00000003400	43	35	33	42	31	24	27	22
ENSG00000003402	910	1054	1136	987	729	696	740	665
ENSG00000003436	291	279	334	351	38	41	47	49
ENSG00000003509	139	147	173	162	135	107	134	108
ENSG00000003756	932	980	1085	949	556	495	561	542
ENSG00000003987	20	12	24	14	22	25	24	18
ENSG00000003989	0	0	0	0	0	0	0	0
ENSG00000004059	485	425	496	424	528	456	544	370
ENSG00000004139	111	104	114	107	191	145	195	152
ENSG00000004142	433	402	440	438	555	451	510	438
ENSG00000004399	2174	2185	2156	2064	1644	1273	1430	1293
ENSG00000004455	520	567	652	558	929	821	885	806
ENSG00000004468	0	0	0	0	1	2	0	0
ENSG00000004478	295	286	297	280	419	347	432	370
ENSG00000004487	509	487	540	533	453	483	507	449
ENSG00000004534	710	805	790	697	515	457	518	454
ENSG00000004660	36	43	51	43	64	58	69	67
ENSG00000004700	294	301	324	303	437	465	506	395
ENSG00000004766	138	162	154	147	136	126	141	111
ENSG00000004776	231	212	274	273	2562	2352	2646	2262
ENSG00000004777	41	51	50	35	18	11	15	9
ENSG00000004779	128	76	108	87	165	158	183	141
ENSG00000004799	49	61	44	62	2	3	3	1
ENSG00000004809	0	0	0	0	0	0	0	0
ENSG00000004838	2	3	3	2	5	1	1	3
ENSG00000004846	0	0	0	0	0	0	0	0
ENSG00000004848	0	0	0	0	0	0	0	0
ENSG00000004864	54	69	55	56	44	44	55	36
ENSG00000004866	122	132	106	118	115	97	131	104
ENSG00000004897	512	516	574	561	675	679	740	631
ENSG00000004939	0	0	0	0	0	0	0	0
ENSG00000004948	0	0	0	0	0	0	0	0
ENSG00000004961	170	198	203	203	178	175	205	145
ENSG00000004975	204	190	202	163	175	143	172	145
ENSG00000005001	0	0	0	0	0	0	0	0
ENSG00000005007	724	700	710	666	667	556	568	529
ENSG00000005020	178	209	248	220	172	181	204	178
ENSG00000005022	490	468	548	507	493	428	523	452
ENSG00000005059	56	59	65	54	91	65	92	56
ENSG00000005073	151	120	146	130	96	73	85	68
ENSG00000005075	153	182	216	202	128	148	158	137
ENSG00000005100	120	149	149	145	162	173	162	152
ENSG00000005102	0	0	1	0	0	0	0	0
ENSG00000005108	3	0	1	0	0	1	0	0
ENSG00000005156	157	161	174	175	192	184	195	164
ENSG00000005175	137	154	164	151	134	151	159	149
ENSG00000005187	10	9	17	20	7	5	9	12
ENSG00000005189	13	13	11	12	9	8	6	3
ENSG00000005194	123	145	135	142	187	148	178	146
ENSG00000005206	309	246	269	248	209	187	188	198
ENSG00000005238	257	277	284	218	525	469	517	418
ENSG00000005243	448	461	511	450	591	520	549	490
ENSG00000005249	6	5	6	4	11	10	14	8
ENSG00000005302	181	186	217	194	164	148	158	114
ENSG00000005339	1054	1146	1161	976	1029	943	983	892
ENSG00000005379	77	73	73	54	53	60	44	39
ENSG00000005381	0	0	0	0	0	0	1	0
ENSG00000005421	0	0	0	0	0	0	0	0
ENSG00000005436	140	126	135	120	77	109	92	95
ENSG00000005448	88	73	76	68	90	70	87	70
ENSG00000005469	93	100	86	75	91	84	78	88
ENSG00000005471	36	41	30	40	4	4	2	4
ENSG00000005483	591	649	668	675	557	586	589	531
ENSG00000005486	254	250	258	217	320	235	281	259
ENSG00000005513	1	1	1	0	0	0	0	0
ENSG00000005700	505	521	648	619	670	768	774	652
ENSG00000005801	89	85	100	85	84	91	104	82
ENSG00000005810	735	806	762	776	867	817	871	780
ENSG00000005812	467	581	567	562	462	444	495	428
ENSG00000005844	0	0	0	0	0	1	0	0
ENSG00000005882	186	202	193	190	213	171	202	162
ENSG00000005884	346	308	351	330	1233	951	1016	897
ENSG00000005889	517	550	581	582	688	702	814	662
ENSG00000005893	1200	1339	1446	1377	1161	1227	1303	1085
ENSG00000005961	1	1	1	0	1	1	1	2
ENSG00000005981	0	0	0	0	0	0	0	0
ENSG00000006007	437	432	481	428	392	392	435	348
ENSG00000006015	91	71	76	48	103	85	90	74
ENSG00000006016	129	123	146	119	391	274	332	269
ENSG00000006025	14	15	21	19	36	23	30	29
ENSG00000006042	667	693	677	625	512	404	493	417
ENSG00000006047	1	0	1	0	1	1	0	0
ENSG00000006059	0	0	0	0	0	0	0	0
ENSG00000006062	67	48	93	64	26	29	29	33
ENSG00000006071	0	0	0	0	0	0	0	0
ENSG00000006116	0	0	0	0	0	0	0	0
ENSG00000006118	141	132	103	122	296	225	241	198
ENSG00000006125	1343	1388	1532	1435	1784	1597	1888	1541
ENSG00000006128	0	0	0	0	0	0	0	0
ENSG00000006194	192	205	227	239	193	168	216	149
ENSG00000006210	0	0	0	1	0	0	0	0
ENSG00000006282	343	334	369	308	442	354	387	368
ENSG00000006283	3	9	17	8	2	1	3	3
ENSG00000006327	949	824	967	806	1782	1436	1560	1363
ENSG00000006377	0	0	0	0	0	0	0	0
ENSG00000006432	0	2	0	0	1	0	1	0
ENSG00000006451	604	725	809	701	546	654	663	561
ENSG00000006453	138	150	170	137	284	231	257	247
ENSG00000006459	157	193	189	184	259	279	250	250
ENSG00000006468	5	4	5	4	12	3	7	3
ENSG00000006530	108	130	146	127	133	140	137	108
ENSG00000006534	471	495	525	459	180	157	203	169
ENSG00000006555	0	0	0	0	0	0	0	0
ENSG00000006576	286	334	305	306	415	413	450	369
ENSG00000006606	1	1	1	2	9	1	2	6
ENSG00000006607	332	366	391	352	314	334	346	315
ENSG00000006611	0	0	0	0	0	0	0	0
ENSG00000006625	79	72	82	103	85	72	82	83
ENSG00000006634	24	34	39	42	33	32	29	20
ENSG00000006638	20	26	24	25	31	28	24	29
ENSG00000006652	459	442	509	452	501	387	491	418
ENSG00000006659	0	0	0	0	0	0	0	0
ENSG00000006695	50	68	87	64	86	61	64	78
ENSG00000006704	163	170	170	166	140	117	132	122
ENSG00000006712	247	273	293	267	276	223	270	244
ENSG00000006715	299	311	316	319	373	390	414	364
ENSG00000006740	8	8	4	3	18	7	6	12
ENSG00000006744	261	258	261	249	253	231	275	238
ENSG00000006747	1	1	1	0	8	8	12	4
ENSG00000006756	256	254	286	260	201	170	187	171
ENSG00000006757	45	59	57	57	116	122	126	109
ENSG00000006788	10	15	16	10	4	8	4	3
ENSG00000006831	444	450	476	478	399	445	461	414
ENSG00000006837	3	5	8	5	3	8	2	3
ENSG00000007001	0	0	0	1	0	0	0	0
ENSG00000007038	0	0	0	0	0	0	0	0
ENSG00000007047	373	366	436	361	461	363	367	352
ENSG00000007062	0	0	0	0	0	0	0	0
ENSG00000007080	364	296	320	320	425	268	371	317
ENSG00000007129	0	0	0	0	0	0	0	0
ENSG00000007168	1245	1412	1378	1370	1510	1552	1626	1395
ENSG00000007171	0	0	0	0	0	0	0	0
ENSG00000007174	0	0	2	0	0	0	0	0
ENSG00000007202	1539	1645	1724	1522	1871	1554	1841	1627
ENSG00000007216	0	0	0	0	0	0	0	0
ENSG00000007237	190	208	245	192	197	192	207	175
ENSG00000007255	37	58	43	45	31	27	38	27
ENSG00000007264	1	0	0	0	0	0	0	0
